user_id,name,email,join_date,transaction_id,amount,timestamp,transaction_type,package_id,courier,delivery_date,delivery_status
00006eb1-40ed-4507-aced-fe55e2945adf,Ashley Hurley,bwolfe@ramirez.com,2023-08-05,34c9f041-a024-4af8-9e38-be56897c2f3e,310.25,2024-01-16 09:25:00,Subscription,d507adf2-859c-43d0-af48-3a8d0a6bd314,UPS,2022-08-01,Pending
0004647f-59e6-49c3-876e-99932eb7fdd9,Scott Lucas,clifford39@gmail.com,2021-05-08,64324057-9994-4724-91c6-534b424ab024,209.69,2023-07-06 10:56:00,In-Store,92f08614-a1f4-483a-af07-ee14e4321783,DHL,2021-05-08,Pending
0015cf11-5342-479c-b54b-a10ec660ad83,Mark Phillips,knightsamantha@hotmail.com,2023-06-09,d5fcf1f7-19d2-4a92-a945-c8afd9a74a63,656.2,2023-10-16 00:19:00,In-Store,167ffb85-272b-4b54-aa71-0b9d1ab5ad9e,DHL,2022-12-13,Pending
0017c24c-a0de-40f4-8e67-4823949a9203,Emily Bryan,eprice@hotmail.com,2023-04-06,8bbe81c2-f983-4d12-baa5-2736b8e00daf,456.2,2023-12-24 01:49:31,Subscription,b51c3bf8-88d4-49c9-b961-016175f8591d,DHL,2022-04-05,Delivered
001d07e8-de4a-4fe9-9964-062bdea42833,Jerry Dixon,udavis@snyder.info,2023-08-14,88330ba7-02b7-496e-9d3f-58b18459581b,242.4,2024-04-27 15:29:00,Online,31741f43-d20a-4eea-ab91-69fe38243251,UPS,2023-02-07,Delivered
00200974-3413-476c-89a9-8c996270605b,Timothy Lambert,carolinejackson@castillo.info,2021-07-29,29893e2b-334b-435b-a23f-dacc4d1d1b44,171.6,2024-01-26 17:31:41,Subscription,17a1a1a6-ebf5-438b-b1d2-505a9c8213ff,DHL,2024-03-23,Delivered
0020ef95-5672-4373-a77d-91b2574f48cf,Jason Carey,michaelsanchez@gmail.com,2024-02-24,72862cdd-3627-4421-b148-99fa83bbb968,599.84,2023-12-26 08:47:00,Online,23d47b9d-36bd-49a3-bbe5-23f2b00c946a,DHL,2023-01-28,Delivered
002e83f2-c8af-4e03-9971-4578d743a359,Bruce Lam,twatts@randall-silva.com,2021-07-08,f4922f4f-5160-4527-92de-01b6f990a761,514.74,2023-07-25 14:20:00,Subscription,2e28f6c7-531b-49ae-bda1-0376889e2f98,DHL,2023-11-03,Pending
003d81cb-4d8b-4577-9312-726128e7b7ca,Timothy Martin,shawn20@escobar.org,2022-01-14,cb674f5c-1454-4d1c-8428-91d957c040d0,691.6,2023-12-12 04:07:00,Online,470ea542-09da-45a5-9599-91bf63902be5,DHL,2023-08-19,In Transit
003effec-d6f0-4289-a832-a6dca3d9ffc3,Taylor Bailey,rthompson@clements-malone.com,2023-03-25,62dd1c79-b31b-4dcb-a569-058252b9e346,404.4,2024-01-27 00:41:00,Subscription,5b2a5a62-02f2-4455-925e-35a9574c032d,UPS,2021-09-05,Lost
